序号,一级意图,二级意图,经验知识,商品品类,问题,标准答案
1,商品咨询与推荐,商品使用方法,透明防水涂料施工温度建议5-35℃，涂刷2-3遍效果最佳，每遍干透后再进行下一遍，方向交叉更均匀,外墙/窗台防水,"https://detail.tmall.com/item.htm?id=608673984488
外墙透明防水涂料的怎么施工？",您好，透明防水涂料建议在5-35℃环境下施工，温度过低或过高都会影响涂料的干燥和附着效果。涂刷建议2-3遍，为确保最佳防水效果推荐涂3遍。每遍需要干透后再进行下一遍，涂刷方向交叉会更均匀，防水效果更好。这是外墙透明防水的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/gKUJCsq0nCjvMZp3qPzH6naciGlIGuxYwwtaH7Jq0ts.mp4
2,商品咨询与推荐,商品对比,,外墙/窗台防水,"https://detail.tmall.com/item.htm?id=608673984488&skuId=6185646987387
超耐候外墙透明防水和没有超耐候的有什么区别？",亲亲您好，[发送超耐候透明防水商品对比图]，两者的主要区别在耐候性和耐久性。超耐候款抗紫外线更强、不易黄变、不易老化，耐水性高、久泡不发白，适合长期日晒雨淋的外墙、窗台、阳台等位置；普通款以基础防水、防渗为主，耐候性和使用年限相对较低，更适合一般外墙修补。总体来说，想用得久选超耐候，常规防水选普通款。
3,商品咨询与推荐,商品属性咨询,透明防水涂料具有耐高温、抗低温、抗紫外线、耐老化特性，适用于外墙窗台等户外环境,外墙/窗台防水,超耐候外墙透明防水涂料的能耐高温吗？,亲亲您好，这款透明防水涂料耐高低温为零下20到60度，具有优异的耐候性能，耐高温、抗低温、抗紫外线、耐老化，非常适合外墙、窗台等户外环境使用。产品能够长期抵御日晒雨淋，不易老化变质，防水效果持久。
4,商品咨询与推荐,商品用量咨询,,外墙/窗台防水,涂屋顶要多少防水涂料啊？,亲亲您好，您这边需要涂刷的面积大概多少。咱们这款超耐候防水涂料5kg 一桶大约可涂 10–15㎡，具体用量会根据屋顶基层是否平整、吸水性以及涂刷遍数有所变化。一般建议涂 2 遍，如果屋顶较粗糙或有细小裂缝，用量会偏向下限，购买时可适当多预留一些，避免中途不够。
5,商品咨询与推荐,商品效果预期,,外墙/窗台防水,防水涂料施工之后多久才能干？,亲亲您好，防水涂料施工后约 4 小时可表干，表面不粘手；约 24 小时可实干并达到基本使用强度。实际干燥时间会受温度、湿度和涂刷厚度影响，天气较冷或潮湿时建议适当延长等待时间，未完全干透前避免踩踏或遇水。
6,商品咨询与推荐,商品选型,,外墙/窗台防水,"https://detail.tmall.com/item.htm?id=608673984488
室内墙面防水涂料小容量选哪款？",亲亲，您需要涂刷的墙面是什么材质，这款透明防水只适合瓷砖、石材、水泥、混凝土墙面，不建议用于乳胶漆墙面哦。这款超强抗裂透明防水涂料有1kg小容量规格的，大概可以涂刷3.3m2哈，商品链接，您看下哈https://detail.tmall.com/item.htm?id=608673984488&skuId=4280914353850
7,商品咨询与推荐,适用场景匹配,透明防水涂料可用于混凝土和瓷砖表面，但处理方式不同：混凝土需先补大缝再整体刷，瓷砖需确保表面干净无油,外墙/窗台防水,"https://detail.tmall.com/item.htm?id=608673984488
外墙透明防水涂料可以用在瓷砖和混凝土表面吗？",亲亲您好，透明防水涂料可以用于混凝土和瓷砖两种表面，但处理方式稍有不同。混凝土表面需要先补大缝再整体涂刷；瓷砖表面需要确保干净无油污，否则会影响附着力。施工前都要保证基面干燥、清洁，这样防水效果才能达到最佳。
8,商品咨询与推荐,适用场景匹配,外墙防水涂料可用于多种基面和问题场景，但不同基面的处理方式有差异，需要根据具体情况调整施工方法,外墙/窗台防水,"https://detail.tmall.com/item.htm?id=608673984488
外墙防水涂料可以同时处理墙面裂缝和窗台渗水吗？",亲亲，立邦透明防水涂料可以同时处理墙面裂缝和窗台渗水问题。这款产品适用于混凝土和瓷砖两种基面，但处理方式稍有不同。对于混凝土基面，需要先清理裂缝并补平大缝，然后再整体涂刷防水涂料。对于瓷砖表面，必须确保表面干净无油污，否则会影响附着力。涂刷时建议涂3遍，每遍干透再上下一遍，裂缝处记得先清理干净再刷。需要注意的是，如果裂缝过宽或基面严重损坏，可能需要先进行基础修补。这是外墙透明防水的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/gKUJCsq0nCjvMZp3qPzH6naciGlIGuxYwwtaH7Jq0ts.mp4
9,商品咨询与推荐,商品使用方法,,漆面修缮,"https://detail.tmall.com/item.htm?id=679124265044
一瓶墙面喷雾能喷多少面积？",亲亲，一罐285ml大概可以施工1-2平米的哈，这边是预估用量，具体以您实际用量为准，因为您购买的是消耗品，您的手法会影响用量·
10,商品咨询与推荐,商品使用方法,墙面滚筒刷使用后需及时清洗晾干保存，干结后难以恢复，下次使用前用清水浸润拧干即可,漆面修缮,"https://detail.tmall.com/item.htm?id=863831138785
墙面滚筒刷用完后如何保存？",亲亲您好，墙面滚筒刷用完后需要及时拆下来，用清水冲洗干净，晾干后再收好保存。如果滚刷已经干结，很难恢复使用了。下次使用前，先检查滚筒有没有干结或变形，如果保存完好，用清水稍微浸润一下滚筒，拧干多余水分，再直接蘸取补墙漆涂刷就行。补墙漆本身密闭存放于5-35℃阴凉干燥处即可，避免阳光直射。
